Date,Product,Category,City,Units_Sold,Original_Price,Promo_Price
2024-01-01,Headphones,Electronics,Bangalore,120,2000,1600
2024-01-01,Laptop,Electronics,Delhi,20,50000,45000
2024-01-01,Keyboard,Accessories,Mumbai,80,1500,1200
2024-01-01,Mouse,Accessories,Bangalore,150,800,600
2024-01-02,Headphones,Electronics,Delhi,160,2000,1500
2024-01-02,Laptop,Electronics,Mumbai,22,50000,47000
2024-01-02,Keyboard,Accessories,Bangalore,70,1500,1400
2024-01-02,Mouse,Accessories,Delhi,130,800,650
2024-01-03,Headphones,Electronics,Mumbai,210,2000,1400
2024-01-03,Laptop,Electronics,Bangalore,18,50000,48000
2024-01-03,Keyboard,Accessories,Delhi,95,1500,1300
2024-01-03,Mouse,Accessories,Mumbai,140,800,700
2024-01-04,Headphones,Electronics,Bangalore,180,2000,1300
2024-01-04,Laptop,Electronics,Delhi,25,50000,46000
2024-01-04,Keyboard,Accessories,Mumbai,85,1500,1200
2024-01-04,Mouse,Accessories,Bangalore,160,800,650
2024-01-05,Headphones,Electronics,Delhi,200,2000,1500
2024-01-05,Laptop,Electronics,Mumbai,30,50000,44000
2024-01-05,Keyboard,Accessories,Bangalore,90,1500,1100
2024-01-05,Mouse,Accessories,Delhi,170,800,600
